"TIME","GEO","VICTIM","UNIT","Value","Flag and Footnotes"
"2002","Croatia","Injured","Number","23,923",""
"2002","Croatia","Injured","Per million inhabitants","5,556",""
"2002","Italy","Killed","Number","6,980",""
"2002","Italy","Killed","Per million inhabitants","122",""
"2002","Italy","Injured","Number","378,491",""
"2002","Italy","Injured","Per million inhabitants","6,642",""
"2002","Cyprus","Killed","Number","94",""
"2002","Cyprus","Killed","Per million inhabitants","133",""
"2002","Cyprus","Injured","Number","3,526",""
"2002","Cyprus","Injured","Per million inhabitants","4,998",""
"2002","Latvia","Killed","Number","518",""
"2002","Latvia","Killed","Per million inhabitants","223",""
"2002","Latvia","Injured","Number","6,300",""
"2002","Latvia","Injured","Per million inhabitants","2,714",""
"2002","Lithuania","Killed","Number","697",""
"2002","Lithuania","Killed","Per million inhabitants","202",""
"2002","Lithuania","Injured","Number","7,428",""
"2002","Lithuania","Injured","Per million inhabitants","2,150",""
"2002","Luxembourg","Killed","Number","62",""
"2002","Luxembourg","Killed","Per million inhabitants","140",""
"2002","Luxembourg","Injured","Number","1,103",""
"2002","Luxembourg","Injured","Per million inhabitants","2,484",""
"2002","Hungary","Killed","Number","1,429",""
"2002","Hungary","Killed","Per million inhabitants","140",""
"2002","Hungary","Injured","Number","25,978",""
"2002","Hungary","Injured","Per million inhabitants","2,553",""
"2002","Malta","Killed","Number","16",""
"2002","Malta","Killed","Per million inhabitants","41",""
"2002","Malta","Injured","Number","1,312",""
"2002","Malta","Injured","Per million inhabitants","3,325",""
"2002","Netherlands","Killed","Number","1,066",""
"2002","Netherlands","Killed","Per million inhabitants","66",""
"2002","Netherlands","Injured","Number","11,018",""
"2002","Netherlands","Injured","Per million inhabitants","684",""
"2002","Austria","Killed","Number","956",""
"2002","Austria","Killed","Per million inhabitants","119",""
"2002","Austria","Injured","Number","56,684",""
"2002","Austria","Injured","Per million inhabitants","7,030",""
"2002","Poland","Killed","Number","5,827",""
"2002","Poland","Killed","Per million inhabitants","152",""
"2002","Poland","Injured","Number","67,498",""
"2002","Poland","Injured","Per million inhabitants","1,765",""
"2002","Portugal","Killed","Number",":",""
"2002","Portugal","Killed","Per million inhabitants",":",""
"2002","Portugal","Injured","Number",":",""
"2002","Portugal","Injured","Per million inhabitants",":",""
"2002","Romania","Killed","Number","2,411",""
"2002","Romania","Killed","Per million inhabitants","110",""
"2002","Romania","Injured","Number","6,806",""
"2002","Romania","Injured","Per million inhabitants","312",""
"2002","Slovenia","Killed","Number","268",""
"2002","Slovenia","Killed","Per million inhabitants","134",""
