"TIME","GEO","VEHICLE","UNIT","Value","Flag and Footnotes"
"2001","Spain","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Spain","Total utility vehicles","Number","4,294,950",""
"2001","Spain","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Spain","Lorries","Number","3,949,000",""
"2001","Spain","Lorries","Per thousand inhabitants",":",""
"2001","Spain","Road tractors","Number","157,000",""
"2001","Spain","Road tractors","Per thousand inhabitants",":",""
"2001","Spain","Trailers and semi-trailers","Number","266,000",""
"2001","Spain","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Spain","Motorcycles","Number","1,482,000",""
"2001","Spain","Motorcycles","Per thousand inhabitants",":",""
"2001","Spain","Passenger cars","Number","18,150,000",""
"2001","Spain","Passenger cars","Per thousand inhabitants","442",""
"2001","Spain","Motor coaches, buses and trolley buses","Number","59,000",""
"2001","Spain","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Spain","Special vehicles","Number","188,950",""
"2001","Spain","Special vehicles","Per thousand inhabitants",":",""
"2001","France","All vehicles (except trailers and motorcycles)","Number","35,925,400",""
"2001","France","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","France","Total utility vehicles","Number","5,507,900",""
"2001","France","Total utility vehicles","Per thousand inhabitants",":",""
"2001","France","Lorries","Number","5,050,300",""
"2001","France","Lorries","Per thousand inhabitants",":",""
"2001","France","Road tractors","Number","201,900",""
"2001","France","Road tractors","Per thousand inhabitants",":",""
"2001","France","Trailers and semi-trailers","Number","339,200",""
"2001","France","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","France","Motorcycles","Number","1,156,000",""
"2001","France","Motorcycles","Per thousand inhabitants",":",""
"2001","France","Passenger cars","Number","30,330,500",""
"2001","France","Passenger cars","Per thousand inhabitants","494",""
"2001","France","Motor coaches, buses and trolley buses","Number","87,000",""
"2001","France","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","France","Special vehicles","Number","255,700",""
"2001","France","Special vehicles","Per thousand inhabitants",":",""
"2001","Croatia","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Croatia","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Croatia","Total utility vehicles","Number",":",""
"2001","Croatia","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Croatia","Lorries","Number","119,900",""
"2001","Croatia","Lorries","Per thousand inhabitants",":",""
"2001","Croatia","Road tractors","Number","6,200",""
"2001","Croatia","Road tractors","Per thousand inhabitants",":",""
"2001","Croatia","Trailers and semi-trailers","Number","27,500",""
"2001","Croatia","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Croatia","Motorcycles","Number","24,300",""
"2001","Croatia","Motorcycles","Per thousand inhabitants",":",""
"2001","Croatia","Passenger cars","Number","1,195,500",""
"2001","Croatia","Passenger cars","Per thousand inhabitants","278",""
"2001","Croatia","Motor coaches, buses and trolley buses","Number","4,800",""
"2001","Croatia","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Croatia","Special vehicles","Number",":",""
"2001","Croatia","Special vehicles","Per thousand inhabitants",":",""
"2001","Italy","All vehicles (except trailers and motorcycles)","Number","36,994,581",""
"2001","Italy","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Italy","Total utility vehicles","Number","3,665,694",""
"2001","Italy","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Italy","Lorries","Number","3,110,317",""
"2001","Italy","Lorries","Per thousand inhabitants",":",""
"2001","Italy","Road tractors","Number","124,149",""
"2001","Italy","Road tractors","Per thousand inhabitants",":",""
"2001","Italy","Trailers and semi-trailers","Number","827,238",""
"2001","Italy","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Italy","Motorcycles","Number","3,732,306",""
"2001","Italy","Motorcycles","Per thousand inhabitants",":",""
"2001","Italy","Passenger cars","Number","33,239,029",""
"2001","Italy","Passenger cars","Per thousand inhabitants","583",""
"2001","Italy","Motor coaches, buses and trolley buses","Number","89,858",""
"2001","Italy","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Italy","Special vehicles","Number","431,228",""
"2001","Italy","Special vehicles","Per thousand inhabitants",":",""
"2001","Cyprus","All vehicles (except trailers and motorcycles)","Number","403,500",""
"2001","Cyprus","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Cyprus","Total utility vehicles","Number","120,400",""
"2001","Cyprus","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Cyprus","Lorries","Number","116,800",""
"2001","Cyprus","Lorries","Per thousand inhabitants",":",""
"2001","Cyprus","Road tractors","Number","1,100",""
"2001","Cyprus","Road tractors","Per thousand inhabitants",":",""
"2001","Cyprus","Trailers and semi-trailers","Number","2,700",""
"2001","Cyprus","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Cyprus","Motorcycles","Number","13,000",""
"2001","Cyprus","Motorcycles","Per thousand inhabitants",":",""
"2001","Cyprus","Passenger cars","Number","280,100",""
"2001","Cyprus","Passenger cars","Per thousand inhabitants","397",""
"2001","Cyprus","Motor coaches, buses and trolley buses","Number","3,000",""
"2001","Cyprus","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Cyprus","Special vehicles","Number","2,500",""
"2001","Cyprus","Special vehicles","Per thousand inhabitants",":",""
"2001","Latvia","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Latvia","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Latvia","Total utility vehicles","Number",":",""
"2001","Latvia","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Latvia","Lorries","Number","88,900",""
"2001","Latvia","Lorries","Per thousand inhabitants",":",""
"2001","Latvia","Road tractors","Number","10,800",""
"2001","Latvia","Road tractors","Per thousand inhabitants",":",""
"2001","Latvia","Trailers and semi-trailers","Number","57,300",""
"2001","Latvia","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Latvia","Motorcycles","Number","21,400",""
"2001","Latvia","Motorcycles","Per thousand inhabitants",":",""
"2001","Latvia","Passenger cars","Number","586,200",""
"2001","Latvia","Passenger cars","Per thousand inhabitants","253",""
"2001","Latvia","Motor coaches, buses and trolley buses","Number","11,600",""
"2001","Latvia","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Latvia","Special vehicles","Number",":",""
"2001","Latvia","Special vehicles","Per thousand inhabitants",":",""
"2001","Lithuania","All vehicles (except trailers and motorcycles)","Number","1,260,322",""
"2001","Lithuania","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Lithuania","Total utility vehicles","Number","111,204",""
"2001","Lithuania","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Lithuania","Lorries","Number","89,373",""
"2001","Lithuania","Lorries","Per thousand inhabitants",":",""
"2001","Lithuania","Road tractors","Number","11,016",""
"2001","Lithuania","Road tractors","Per thousand inhabitants",":",""
"2001","Lithuania","Trailers and semi-trailers","Number","18,270",""
"2001","Lithuania","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Lithuania","Motorcycles","Number","20,244",""
"2001","Lithuania","Motorcycles","Per thousand inhabitants",":",""
"2001","Lithuania","Passenger cars","Number","1,133,477",""
"2001","Lithuania","Passenger cars","Per thousand inhabitants","328",""
"2001","Lithuania","Motor coaches, buses and trolley buses","Number","15,641",""
"2001","Lithuania","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Lithuania","Special vehicles","Number","10,815",""
"2001","Lithuania","Special vehicles","Per thousand inhabitants",":",""
"2001","Luxembourg","All vehicles (except trailers and motorcycles)","Number","310,171",""
"2001","Luxembourg","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Luxembourg","Total utility vehicles","Number","28,340",""
"2001","Luxembourg","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Luxembourg","Lorries","Number","21,730",""
"2001","Luxembourg","Lorries","Per thousand inhabitants",":",""
"2001","Luxembourg","Road tractors","Number","4,521",""
"2001","Luxembourg","Road tractors","Per thousand inhabitants",":",""
"2001","Luxembourg","Trailers and semi-trailers","Number","19,188",""
"2001","Luxembourg","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Luxembourg","Motorcycles","Number","11,945",""
"2001","Luxembourg","Motorcycles","Per thousand inhabitants",":",""
"2001","Luxembourg","Passenger cars","Number","280,709",""
"2001","Luxembourg","Passenger cars","Per thousand inhabitants","632",""
"2001","Luxembourg","Motor coaches, buses and trolley buses","Number","1,122",""
"2001","Luxembourg","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Luxembourg","Special vehicles","Number","2,089",""
"2001","Luxembourg","Special vehicles","Per thousand inhabitants",":",""
"2001","Hungary","All vehicles (except trailers and motorcycles)","Number","2,881,085",""
"2001","Hungary","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Hungary","Total utility vehicles","Number","380,441",""
"2001","Hungary","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Hungary","Lorries","Number","340,993",""
"2001","Hungary","Lorries","Per thousand inhabitants",":",""
"2001","Hungary","Road tractors","Number","25,220",""
"2001","Hungary","Road tractors","Per thousand inhabitants",":",""
"2001","Hungary","Trailers and semi-trailers","Number","335,000",""
"2001","Hungary","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Hungary","Motorcycles","Number","93,088",""
"2001","Hungary","Motorcycles","Per thousand inhabitants",":",""
"2001","Hungary","Passenger cars","Number","2,482,827",""
"2001","Hungary","Passenger cars","Per thousand inhabitants","244",""
"2001","Hungary","Motor coaches, buses and trolley buses","Number","17,817",""
"2001","Hungary","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Hungary","Special vehicles","Number","14,228",""
"2001","Hungary","Special vehicles","Per thousand inhabitants",":",""
"2001","Malta","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Malta","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Malta","Total utility vehicles","Number",":",""
"2001","Malta","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Malta","Lorries","Number","44,700",""
"2001","Malta","Lorries","Per thousand inhabitants",":",""
"2001","Malta","Road tractors","Number","414",""
"2001","Malta","Road tractors","Per thousand inhabitants",":",""
"2001","Malta","Trailers and semi-trailers","Number",":",""
"2001","Malta","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Malta","Motorcycles","Number","12,800",""
"2001","Malta","Motorcycles","Per thousand inhabitants",":",""
"2001","Malta","Passenger cars","Number","195,400",""
